# This file was created using create_datpin_files.R function write_tsDatFile
      #and used all inputs from csv files found in folder:
      #hydradata/data-raw
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  1701
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 1 11580530.9599496 0.1
  1 2 1 10935584.3456778 0.1
  1 3 1 9581590.79499956 0.1
  1 4 1 10305403.8844592 0.1
  1 5 1 10493932.0007828 0.1
  1 6 1 12148422.5456193 0.1
  1 7 1 12945530.4954711 0.1
  1 8 1 9884336.70030056 0.1
  1 9 1 11881663.915474 0.1
  1 10 1 13937920.0385732 0.1
  1 11 1 11195684.722403 0.1
  1 12 1 10780461.0540884 0.1
  1 13 1 10638032.7679092 0.1
  1 14 1 11609745.7177059 0.1
  1 15 1 10321146.2460228 0.1
  1 16 1 9363716.54422844 0.1
  1 17 1 8094543.319771 0.1
  1 18 1 6067053.76014905 0.1
  1 19 1 4359768.02705721 0.1
  1 20 1 3937296.76825908 0.1
  1 21 1 2698717.65629349 0.1
  1 22 1 3483814.1826309 0.1
  1 23 1 2779549.44898506 0.1
  1 24 1 2582234.91212965 0.1
  1 25 1 2516204.32614171 0.1
  1 26 1 2907814.13056789 0.1
  1 27 1 2615703.04084944 0.1
  1 28 1 2581694.84269189 0.1
  1 29 1 2809954.88187257 0.1
  1 30 1 3232969.2485303 0.1
  1 31 1 2740510.15782462 0.1
  1 32 1 3553906.79941656 0.1
  1 33 1 2522631.29241553 0.1
  1 34 1 2894492.3726293 0.1
  1 35 1 3311947.38280741 0.1
  1 36 1 3139252.14721416 0.1
  1 37 1 3090736.19253828 0.1
  1 38 1 2698764.74011958 0.1
  1 39 1 3411139.9632334 0.1
  1 40 1 2849861.30306142 0.1
  1 41 1 3249938.78183623 0.1
  1 42 1 4965669.42503522 0.1
  1 43 1 5091177.18554638 0.1
  1 44 1 6431471.28291117 0.1
  1 45 1 5534709.01832222 0.1
  1 46 1 7777065.69572951 0.1
  1 47 1 7839801.0448031 0.1
  1 48 1 7952210.9603441 0.1
  1 49 1 7638188.94962945 0.1
  1 50 1 6847360.29351871 0.1
  1 51 1 7898051.06003325 0.1
  1 52 1 9688326.9667068 0.1
  1 53 1 8292972.93248658 0.1
  1 54 1 6869184.85553479 0.1
  1 55 1 8924693.58463824 0.1
  1 56 1 9452459.65595414 0.1
  1 57 1 9566654.13700897 0.1
  1 58 1 8487734.43998053 0.1
  1 59 1 8649678.4044004 0.1
  1 60 1 7902697.67894183 0.1
  1 61 1 7070200.21259273 0.1
  1 62 1 7982677.88134598 0.1
  1 63 1 7015601.47735949 0.1
  1 64 1 8331345.24780699 0.1
  1 65 1 7983424.98008248 0.1
  1 66 1 8400798.2318936 0.1
  1 67 1 8467739.59604913 0.1
  1 68 1 7076959.75610875 0.1
  1 69 1 7161567.10578648 0.1
  1 70 1 7462248.42630157 0.1
  1 71 1 6816978.92746797 0.1
  1 72 1 6078863.93035012 0.1
  1 73 1 5505539.29602759 0.1
  1 74 1 5986347.72857306 0.1
  1 75 1 7260327.43442747 0.1
  1 76 1 6534233.06512949 0.1
  1 77 1 6610538.6475284 0.1
  1 78 1 6547107.52233622 0.1
  1 79 1 6675048.16320218 0.1
  1 80 1 6041816.46640114 0.1
  1 81 1 6349183.05922194 0.1
  1 1 2 1606471.58256115 0.1
  1 2 2 1546972.74221313 0.1
  1 3 2 1283919.74221512 0.1
  1 4 2 1498269.17247551 0.1
  1 5 2 1577968.56675014 0.1
  1 6 2 1335657.10626087 0.1
  1 7 2 1837360.01611209 0.1
  1 8 2 3320418.32383254 0.1
  1 9 2 900170.227143191 0.1
  1 10 2 1916238.93297618 0.1
  1 11 2 2130355.19416419 0.1
  1 12 2 2168883.4450474 0.1
  1 13 2 1230884.43222471 0.1
  1 14 2 1196982.07740195 0.1
  1 15 2 1233601.12431626 0.1
  1 16 2 1848298.54369434 0.1
  1 17 2 1095814.46653934 0.1
  1 18 2 1931613.60622283 0.1
  1 19 2 1594317.33180544 0.1
  1 20 2 1543789.53713832 0.1
  1 21 2 1545511.88348115 0.1
  1 22 2 1983191.08434684 0.1
  1 23 2 2004580.16202536 0.1
  1 24 2 3394975.82822182 0.1
  1 25 2 1946393.01698502 0.1
  1 26 2 1932385.1511504 0.1
  1 27 2 1874093.58200407 0.1
  1 28 2 2168353.72606719 0.1
  1 29 2 1393227.58657748 0.1
  1 30 2 2418050.50877836 0.1
  1 31 2 2180869.88198001 0.1
  1 32 2 1891553.00685794 0.1
  1 33 2 1784816.23017929 0.1
  1 34 2 2273658.03903166 0.1
  1 35 2 2278941.44836547 0.1
  1 36 2 1817176.80124953 0.1
  1 37 2 2046434.20845985 0.1
  1 38 2 1700480.78254705 0.1
  1 39 2 2376407.89498509 0.1
  1 40 2 1898412.79122631 0.1
  1 41 2 2716741.29679987 0.1
  1 42 2 2631982.80989409 0.1
  1 43 2 2262513.97776332 0.1
  1 44 2 2051719.50445226 0.1
  1 45 2 1799787.01833597 0.1
  1 46 2 1944408.76316294 0.1
  1 47 2 1530633.78671172 0.1
  1 48 2 1722764.81572188 0.1
  1 49 2 2276620.02958782 0.1
  1 50 2 1978087.84293657 0.1
  1 51 2 1924258.30939992 0.1
  1 52 2 1527209.04303318 0.1
  1 53 2 2287093.46082939 0.1
  1 54 2 2318256.25033476 0.1
  1 55 2 1979082.30426533 0.1
  1 56 2 2536319.48235395 0.1
  1 57 2 1542850.89325803 0.1
  1 58 2 3227682.76732567 0.1
  1 59 2 2161981.68542221 0.1
  1 60 2 2670535.62559372 0.1
  1 61 2 2673913.51192642 0.1
  1 62 2 3134157.91015692 0.1
  1 63 2 2459883.00233831 0.1
  1 64 2 3028062.38394203 0.1
  1 65 2 2437638.11041462 0.1
  1 66 2 2145707.28846295 0.1
  1 67 2 3076417.65151498 0.1
  1 68 2 1817629.60615565 0.1
  1 69 2 1994569.4410941 0.1
  1 70 2 2304622.08183648 0.1
  1 71 2 2296981.26313147 0.1
  1 72 2 2043381.26007839 0.1
  1 73 2 1855867.20196167 0.1
  1 74 2 3003792.95797832 0.1
  1 75 2 1878177.61050401 0.1
  1 76 2 2832140.16821715 0.1
  1 77 2 2357743.89603805 0.1
  1 78 2 2231335.17221662 0.1
  1 79 2 2076587.77212619 0.1
  1 80 2 2131084.89782665 0.1
  1 81 2 1672269.84075571 0.1
  1 1 3 467046.578653199 0.1
  1 2 3 376169.408750932 0.1
  1 3 3 439043.006946243 0.1
  1 4 3 431448.964499007 0.1
  1 5 3 382371.725749448 0.1
  1 6 3 407773.783525584 0.1
  1 7 3 407048.356727379 0.1
  1 8 3 407918.067033116 0.1
  1 9 3 452344.026605859 0.1
  1 10 3 436460.056846507 0.1
  1 11 3 370974.826962161 0.1
  1 12 3 387359.991214653 0.1
  1 13 3 313828.465386329 0.1
  1 14 3 479614.056614313 0.1
  1 15 3 393830.566228362 0.1
  1 16 3 326650.436922922 0.1
  1 17 3 317267.013864612 0.1
  1 18 3 347574.578833457 0.1
  1 19 3 304808.003339307 0.1
  1 20 3 233152.066375334 0.1
  1 21 3 268163.595859938 0.1
  1 22 3 274750.242635755 0.1
  1 23 3 257683.722909063 0.1
  1 24 3 200489.071517922 0.1
  1 25 3 251397.689369527 0.1
  1 26 3 241711.459567241 0.1
  1 27 3 243313.580662024 0.1
  1 28 3 223849.387431263 0.1
  1 29 3 232143.322928523 0.1
  1 30 3 213066.100395799 0.1
  1 31 3 225371.076867186 0.1
  1 32 3 190450.026779643 0.1
  1 33 3 210164.34004247 0.1
  1 34 3 196359.568848797 0.1
  1 35 3 235618.714746307 0.1
  1 36 3 198648.870375479 0.1
  1 37 3 184529.037829128 0.1
  1 38 3 197355.791084239 0.1
  1 39 3 229759.104032628 0.1
  1 40 3 208776.793138905 0.1
  1 41 3 183163.90474625 0.1
  1 42 3 193368.034478703 0.1
  1 43 3 238977.537706944 0.1
  1 44 3 230923.178124172 0.1
  1 45 3 253939.645834782 0.1
  1 46 3 225133.116575315 0.1
  1 47 3 235824.154383008 0.1
  1 48 3 302074.42476398 0.1
  1 49 3 275633.630711351 0.1
  1 50 3 290257.704488563 0.1
  1 51 3 264688.57547818 0.1
  1 52 3 300981.938607003 0.1
  1 53 3 230016.127440678 0.1
  1 54 3 293312.080238875 0.1
  1 55 3 307237.597056447 0.1
  1 56 3 271869.734368042 0.1
  1 57 3 283357.066512575 0.1
  1 58 3 274370.087908029 0.1
  1 59 3 259244.435703512 0.1
  1 60 3 281479.164724163 0.1
  1 61 3 313559.73443426 0.1
  1 62 3 366496.975935334 0.1
  1 63 3 301440.564963356 0.1
  1 64 3 315224.037527441 0.1
  1 65 3 300835.622548468 0.1
  1 66 3 307400.555305238 0.1
  1 67 3 277548.533621777 0.1
  1 68 3 299241.591916519 0.1
  1 69 3 285086.313267288 0.1
  1 70 3 273645.093855276 0.1
  1 71 3 292242.494554931 0.1
  1 72 3 288077.221166048 0.1
  1 73 3 303858.504347061 0.1
  1 74 3 250807.524905168 0.1
  1 75 3 244508.851822763 0.1
  1 76 3 318980.245515027 0.1
  1 77 3 318359.931993032 0.1
  1 78 3 232190.038233957 0.1
  1 79 3 288420.439148411 0.1
  1 80 3 304833.635510383 0.1
  1 81 3 285681.616309631 0.1
  1 1 4 832600.062723909 0.1
  1 2 4 804190.23224549 0.1
  1 3 4 819002.413250679 0.1
